Years,Iran_P,Iraq_P,,Iran_C,Iraq_C,,Argentina_P,United Kingdom_P,Argentina_C,United Kingdom_C,,Israel_P,Lebanon_C,Syria_P,Israel_C,Lebanon_P,Syria_C,,India_P,Pakistan_P,India_C,Pakistan_C,,Mali_P,Burkina Faso_P,Mali_C,Burkina Faso_C,,Uganda_P,Sudan and South Sudan_P,Republic of The Congo_P,Uganda_C,Sudan and South Sudan_C,Republic of The Congo_C
1980,3.944,5.45,,1.606,0.524,,1.598,8.652,1.638,8.924,,0.081,0.009,0.411,0.376,0.105,0.274,,3.138,0.427,3.971,0.624,,1.00E-04,0,0.007,0.006,,0.007,0.005,0.139,0.016,0.052,0.012
1981,3.287,2.163,,1.509,0.483,,1.671,8.959,1.591,8.337,,0.083,0.009,0.409,0.362,0.097,0.289,,3.673,0.461,4.454,0.682,,1.00E-04,0,0.009,0.006,,0.005,0.008,0.177,0.011,0.056,0.014
1982,5.136,2.189,,1.731,0.462,,1.729,9.586,1.729,9.586,,0.005,0.007,0.399,0.38,0.094,0.295,,3.956,0.513,4.609,0.777,,0.001,0,0.007,0.006,,0.006,0.008,0.19,0.013,0.061,0.013
1983,5.678,2.168,,2.116,0.551,,1.785,10.089,1.69,8.207,,0.004,0.006,0.413,0.374,0.098,0.334,,4.343,0.52,4.884,0.79,,0.001,0,0.007,0.006,,0.005,0.008,0.187,0.012,0.059,0.011
1984,5.305,2.611,,2.23,0.538,,1.852,8.807,1.836,8.461,,0.004,0.006,0.426,0.345,0.094,0.368,,4.682,0.545,5.267,0.816,,0.001,0,0.008,0.006,,0.006,0.008,0.259,0.014,0.054,0.012
1985,5.587,3.09,,2.399,0.567,,1.834,10.204,1.746,8.795,,0.004,0.006,0.439,0.365,0.108,0.385,,5.007,0.592,5.541,0.875,,0.001,0,0.008,0.006,,0.007,0.01,0.258,0.014,0.062,0.017
1986,5.064,3.659,,2.429,0.623,,1.843,10.645,1.901,8.927,,0.004,0.006,0.476,0.394,0.103,0.384,,5.376,0.648,5.963,0.934,,0.002,0,0.007,0.007,,0.007,0.01,0.254,0.015,0.069,0.015
1987,5.669,4.577,,2.54,0.639,,1.834,10.349,1.951,9.075,,0.003,0.006,0.569,0.432,0.107,0.435,,5.573,0.69,6.275,1.009,,0.002,0,0.008,0.007,,0.006,0.01,0.264,0.014,0.067,0.018
1988,5.709,5.97,,2.703,0.767,,1.906,10.001,1.953,9.047,,0.002,0.006,0.645,0.451,0.098,0.453,,6.145,0.742,6.918,1.08,,0.002,0,0.005,0.007,,0.006,0.009,0.308,0.018,0.072,0.015
1989,7.015,6.472,,2.973,0.825,,1.985,8.997,1.938,9.117,,0.002,0.005,0.83,0.469,0.077,0.483,,6.424,0.777,7.312,1.134,,0.002,0,0.008,0.007,,0.007,0.01,0.35,0.018,0.069,0.017
1990,7.67,4.542,,3.096,0.918,,2.015,8.96,1.881,9.237,,0.002,0.003,1.002,0.483,0.071,0.563,,6.833,0.818,7.803,1.19,,0.002,1.00E-04,0.008,0.007,,0.008,0.015,0.353,0.019,0.069,0.019
1991,8.265,0.715,,3.235,0.624,,2.104,9.311,1.973,9.553,,0.002,0.005,1.256,0.494,0.118,0.521,,7.165,0.888,8.24,1.252,,0.002,1.00E-04,0.009,0.008,,0.008,0.016,0.334,0.021,0.093,0.018
1992,8.527,1.018,,3.349,0.839,,2.28,9.101,2.037,9.271,,0.001,0.006,1.236,0.498,0.119,0.538,,7.365,0.937,8.764,1.312,,0.002,1.00E-04,0.009,0.008,,0.01,0.017,0.372,0.023,0.087,0.017
1993,8.833,1.211,,3.478,0.964,,2.477,9.416,2.201,9.579,,0.002,0.007,1.41,0.606,0.149,0.595,,7.503,0.944,9.186,1.403,,0.002,1.00E-04,0.009,0.009,,0.01,0.017,0.386,0.024,0.084,0.015
1994,9.162,1.328,,3.681,1.102,,2.687,10.23,2.241,9.577,,0.002,0.008,1.426,0.643,0.17,0.634,,7.979,1.015,9.877,1.529,,0.002,1.00E-04,0.01,0.01,,0.01,0.017,0.383,0.024,0.076,0.015
1995,9.347,1.352,,3.822,1.131,,2.911,10.913,2.306,9.534,,0.001,0.007,1.438,0.662,0.183,0.609,,9.476,1.038,11.379,1.595,,0.002,1.00E-04,0.01,0.01,,0.011,0.016,0.4,0.025,0.071,0.015
1996,9.646,1.39,,3.956,1.125,,3.027,11.605,2.387,10.06,,0.001,0.008,1.511,0.679,0.192,0.652,,9.189,1.056,11.323,1.671,,0.002,0.001,0.01,0.011,,0.011,0.02,0.43,0.025,0.072,0.015
1997,9.84,2.604,,4.428,1.041,,3.283,11.371,2.458,9.788,,0.002,0.009,1.479,0.704,0.22,0.695,,9.411,1.07,11.69,1.685,,0.002,0.001,0.01,0.017,,0.013,0.025,0.557,0.027,0.073,0.015
1998,9.896,4.706,,4.583,1.056,,3.376,11.56,2.569,9.754,,0.001,0.008,1.502,0.716,0.224,0.752,,9.456,1.06,12.085,1.719,,0.002,1.00E-04,0.01,0.016,,0.013,0.034,0.581,0.029,0.074,0.014
1999,9.996,5.475,,4.834,1.074,,3.407,11.914,2.61,9.796,,0.001,0.003,1.48,0.723,0.23,0.774,,9.595,1.096,12.832,1.804,,0.002,0.001,0.01,0.016,,0.013,0.146,0.593,0.029,0.08,0.012
2000,10.398,5.622,,5.013,1.084,,3.492,11.101,2.666,9.734,,1.00E-04,0.005,1.462,0.809,0.234,0.782,,9.833,1.146,13.287,1.846,,0.002,1.00E-04,0.01,0.017,,0.016,0.363,0.615,0.033,0.108,0.013
2001,10.672,5.217,,5.385,1.134,,3.66,11.172,2.624,9.884,,1.00E-04,0.003,1.366,0.782,0.225,0.762,,10.235,1.124,13.735,1.799,,0.002,1.00E-04,0.01,0.017,,0.016,0.406,0.56,0.035,0.136,0.016
2002,10.444,4.422,,5.885,1.144,,3.574,11.011,2.478,9.749,,1.00E-04,0.007,1.421,0.846,0.229,0.82,,10.083,1.143,13.761,1.813,,0.002,1.00E-04,0.011,0.017,,0.017,0.461,0.547,0.036,0.14,0.015
2003,11.356,2.844,,6.178,1.012,,3.741,10.495,2.669,9.784,,0.001,0.014,1.402,0.857,0.238,0.827,,10.645,1.25,14.221,1.909,,0.002,1.00E-04,0.011,0.018,,0.018,0.517,0.538,0.039,0.154,0.017
2004,12.056,4.378,,6.391,1.125,,3.755,9.414,2.777,9.843,,0.028,0.011,1.38,0.88,0.228,0.845,,11.238,1.319,15.427,1.967,,0.002,0.001,0.011,0.018,,0.019,0.653,0.518,0.041,0.165,0.018
2005,13.115,4.124,,7.443,1.239,,3.746,8.55,3.11,9.809,,0.027,0.01,1.287,0.805,0.219,0.805,,11.943,1.487,16.589,2.14,,0.004,1.00E-04,0.014,0.019,,0.018,0.667,0.504,0.042,0.177,0.027
2006,13.124,4.393,,7.923,1.226,,3.822,7.781,3.312,9.699,,0.035,0.007,1.23,0.878,0.194,0.808,,12.612,1.648,17.737,2.385,,0.005,1.00E-04,0.014,0.019,,0.012,0.72,0.529,0.039,0.197,0.028
2007,12.996,4.562,,8.127,1.303,,3.663,7.298,3.347,9.36,,0.041,0.006,1.158,0.895,0.179,0.848,,13.261,1.642,19.153,2.482,,0.005,0.001,0.014,0.021,,0.015,0.88,0.462,0.043,0.224,0.034
2008,13.357,5.183,,8.503,1.337,,3.631,6.935,3.479,9.232,,0.052,0.004,1.126,0.891,0.229,0.977,,13.874,1.644,20.108,2.469,,0.006,0.001,0.015,0.03,,0.016,0.903,0.522,0.067,0.236,0.04
2009,14.259,5.171,,9.33,1.379,,3.537,6.548,3.41,8.728,,0.044,0.006,1.133,0.864,0.283,0.986,,14.934,1.66,22.177,2.506,,0.006,0.001,0.016,0.026,,0.014,0.928,0.599,0.059,0.239,0.048
2010,14.607,5.209,,9.186,1.438,,3.429,6.181,3.539,8.937,,0.058,0.008,1.264,0.955,0.273,1.015,,15.709,1.744,23.7,2.609,,0.007,0.001,0.016,0.027,,0.014,0.962,0.692,0.062,0.294,0.073
2011,14.785,5.668,,9.471,1.468,,3.262,5.34,3.669,8.436,,0.097,0.008,1.129,0.915,0.272,0.937,,16.148,1.712,23.309,2.544,,0.007,1.00E-04,0.017,0.026,,0.013,0.903,0.675,0.059,0.287,0.077
2012,13.631,6.449,,9.835,1.619,,3.115,4.762,3.653,8.484,,0.055,0.009,0.636,0.957,0.276,0.736,,16.178,1.806,24.442,2.638,,0.007,1.00E-04,0.016,0.027,,0.023,0.272,0.664,0.069,0.279,0.084
2013,13.032,6.606,,9.87,1.709,,3.092,4.427,3.823,8.438,,0.172,0.011,0.381,0.928,0.232,0.88,,14.902,1.788,25.428,2.651,,0.007,0.001,0.019,0.024,,0.028,0.537,0.644,0.065,0.29,0.098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
